city_x,city_y
fig,Biała Podlaska
kumquat,Białystok
mandarine,Bielsko-Biała
redcurrant,Bytom
pomelo,Gdańsk
berry,Gdynia
elderberry,Kalisz
apple,Katowice
apricot,Kielce
lychee,Kraków
prune,Legnica
coconut,Łódź
dragonfruit,Lublin
plum,Opole
miracle_fruit,Ostrołęka
cloudberry,Piekary Śląskie
poznan,Poznań
pineapple,Siedlce
jujube,Sopot
lemon,Warszawa
mango,Wrocław
fig,Biała Podlaska
kumquat,Białystok
redcurrant,Bytom
star_fruit,Chorzów
berry,Gdynia
pear,Jastrzębie-Zdrój
blackcurrant,Jelenia Góra
elderberry,Kalisz
orange,Konin
longan,Koszalin
prune,Legnica
coconut,Łódź
dragonfruit,Lublin
guava,Olsztyn
durian,Piotrków Trybunalski
kiwano,Płock
blood_orange,Przemyśl
peach,Rybnik
cantaloupe,Słupsk
jujube,Wołomin
nance,Sosnowiec
plumcot,Świętochłowice
kiwi,Tarnobrzeg
kiwi,Zawiercie
passionfruit,Tarnów
lemon,Warszawa
jambul,Wałbrzych
jambul,Włocławek
mangosteen,Zabrze
grapefruit,Zamość
lime,Zielona Góra
